technical_id,key,object_number,neighborhood,locality,type_of_green_space,green_space_name,name_extension,year_built,last_renovation_year,size_sqm,dedication,planning_area_number,planning_area_name,address1,latitude,longitude
00008100_0024d2f8,00008100:0024d2f8,212690,Mitte,Tiergarten,Grünanlage,Großer Tiergarten - Sinti und Roma,Mahnmal,,,1867.0,gewidmet,1100102.0,Großer Tiergarten,"Großer Tiergarten - Sinti und Roma, Berlin, Germany",,
00008100_0022ff22,00008100:0022ff22,328850,Mitte,Wedding,Grünanlage,Allee du Stade / Kurt-Schumacher-Damm,nördlich Am Festplatz,,,833.0,gewidmet,1400937.0,Afrikanische Straße,"Allee du Stade / Kurt-Schumacher-Damm, Berlin, Germany",,
00008100_0014b829,00008100:0014b829,327010,Mitte,Wedding,Grünanlage,Zeppelinplatz,,,,10063.0,gewidmet,1400942.0,Westliche Müllerstraße,"Zeppelinplatz, Berlin, Germany",52.545893,13.3529319
00008100_0014bda8,00008100:0014bda8,338910,Mitte,Wedding,Grünanlage,"Kieler Str., Nordhafen-Vorbecken",Panke Einleitung in Nordhafen,,,3873.0,gewidmet,1300836.0,Humboldthain Nordwest,"Kieler Str., Nordhafen-Vorbecken, Berlin, Germany",,
00008100_0014bbfc,00008100:0014bbfc,215010,Mitte,Hansaviertel,Grünanlage,Spreeuferpromenade Schleswiger Ufer,Lessingbrücke bis Charlottenburg ,,,13113.0,gewidmet,1200629.0,Hansaviertel,"Spreeuferpromenade Schleswiger Ufer, Berlin, Germany",,
00008100_0014bc50,00008100:0014bc50,215500,Mitte,Hansaviertel,Grünanlage,Händelallee 47 - 59,südl. U-Bhf Hansaplatz,,,26321.0,gewidmet,1200629.0,Hansaviertel,"Händelallee 47 - 59, Berlin, Germany",52.5156714,13.3433165
00008100_0022fde9,00008100:0022fde9,202700,Mitte,Moabit,Grünanlage,Elisabeth-Abegg-Str. neben Nr. 1,Innenhof Polizeiwache A . 34,,,1087.0,gewidmet,1200628.0,Lüneburger Straße,"Elisabeth-Abegg-Str. neben Nr. 1, Berlin, Germany",,
00008100_0014bd6f,00008100:0014bd6f,156800,Mitte,Mitte,Grünanlage,Spreeuferpromenade Tucholskystr.,,,,3138.0,gewidmet,1100309.0,Oranienburger Straße,"Spreeuferpromenade Tucholskystr., Berlin, Germany",,
00008100_0014bd17,00008100:0014bd17,115710,Mitte,Mitte,Grünanlage,Kurstr. / Niederwallstr.,Südpark auf dem Friedrichswerder,,,5170.0,gewidmet,1100207.0,Leipziger Straße,"Kurstr. / Niederwallstr., Berlin, Germany",,
00008100_00231bc5,00008100:00231bc5,320080,Mitte,Gesundbrunnen,Grünanlage,"Volkspark Humboldthain, Rosengarten",,1876.0,,13240.0,gewidmet,1300835.0,Humboldthain Süd,"Volkspark Humboldthain, Rosengarten, Berlin, Germany",,
