Bad-ID,Badtyp,eu_badegewaesser,Name,Straße,Postleitzahl,Ort,Ansprechpartner,Telefon,E-Mail-Adresse,Webseite,Gemeindekennzahl,Längengrad,Breitengrad,Ganzjährig geöffnet,Öffnungsstunden pro Jahr,Beginn der Sommerzeit,Ende der Sommerzeit,Beginn der Winterzeit,Ende der Winterzeit,Baujahr,Baukosten bei Fertigstellung,Währung der Baukosten,Baukosten heute (Euro),Eigentümer,Name des Eigentümers,Betreiber,Name des Betreibers,Besucher,Eintritt Erwachsene,Ermäßigung Kind,Ermäßigung Familie,Ermäßigung Behinderte,Ermäßigung Senioren,Frühtarif,Abendtarif,Schulsport,ÖPNV Strecke,ÖPNV <500m,PKW Parkplätze,Fahrrad Parkplätze,Behinderten Parkplätze,E-Ladestationen,Gegenstrom Anlage,Schwimmwanderkanal,10m Sprungturm,"7,5m Sprungturm",5m Sprungturm,3m Sprungturm,3m Sprungbrett,1m Sprungbrett,Großrutsche,Kinderrutsche,Separates Rutschbecken,Restaurant,Bistro,Essensautomat,Bewirtung für Badegäste,Bewirtung öffentlich,Sportangebot an Land,Fläche Umkleide,Anzahl Sammelumkleiden,Anzahl Einzelumkleiden,Anzahl Spinde,Rollstuhl Stellplätze,Unterfahrbarer Waschtisch,Breite Liegen,Extra große Spinde,Barrierefreiheit Sonstiges,Kursraum ohne Geräte,Ausstattung Kursraum,Kursraum mit Geräten,Geräte Kursraum,Liegewiese Größe,Spielfläche Größe,einrichtung_spielflaeche,Spielplatz Größe,Spielplatz Geräte,Beachfeld Größe,Installierte Fitnessgeräte,Sonstige Freiflächen,Sauna Fläche,Anzahl Saunen,Anzahl Solarien,Anzahl Massagen,Poollifter,Barrierefreie Rutsche,Wasserabwesender Rollstuhl,Breite Gänge,Taktiles Leitsystem,Optische und akustische Anzeigen,Manuelles Kassensystem,Automatisches Kassensystem,Anlage dauerhaft geschlossen,Schließung Begründung,Anlage temporär geschlossen,Schließdatum,Einschränkung Schwimmbetrieb,Einschränkungen Beschreibung,Einschränkung Funktion,Einschränkungen Funktion Beschreibung,WLAN,Badebetrieb neben Wettkampf,Energieeffiziente Maßnahmen,Zusätzliche Angebote,Nutzung durch Vereine,Nutzung durch Schulen,Nutzung durch Bürger,Nutzung durch Firmen,Nutzung durch VHS,Kommerzielle Nutzung,Sonstige Nutzer,Anteil Vereine,Anteil Schulen,Anteil Bürger,Anteil Firmen,Anteil VHS,Anteil Kommerzielle Nutzung,Anteil Sonstige Nutzer,Stundentarif,Sonstige Tarife,Sonstige Sprungbretter,Startblöcke,Anzahl Startblöcke,Kommentar,Öffnungsdatum,Wettkampftauglichkeit Schwimmen,Wettkampftauglichkeit Wasserball,Wettkampftauglichkeit Springen,Wettkampftauglichkeit Rettungsschwimmen,Wettkampftauglichkeit Synchronschwimmen,Wettkampftauglichkeit Tauchen,Badpate vorhanden,Erweiterungen,Sanierungen,Förderungen
472,Naturbad,,Strandbad Lübars,Am Freibad 9,13469,Berlin,,030 53086035,info@strandbad-luebars.de,www.berlinerbaeder.de/baeder/strandbad-luebars/,11000000,13.33519,52.61824,nein,,Mai,,,,,,,,Gemeinde oder Stadt,Henry Arzig,,,,5.0,ja,ja,ja,ja,nein,ja,nein,,ja,,,,,nein,nein,,,,,,,,,,ja,,,ja,ja,Fußball,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nein,,nein,,,,,,,,,,,,ja,,,,,,,,,,,,nein,,,nein,,,,,,,,,,nein,,,
473,Hallenbad,nein,Kleine Schwimmhalle Wuhlheide,An der Wuhlheide 161,12459,Berlin,,030 22190011,,www.berlinerbaeder.de/baeder/kleine-schwimmhalle-wuhlheide/,11000000,13.53965,52.45993,ja,,,,,,1990.0,,,,,,,,,3.5,ja,nein,ja,ja,ja,ja,,,ja,,,,,nein,nein,nein,nein,nein,nein,,nein,,,,nein,nein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nein,,nein,,,,,,,,,,ja,ja,ja,,,,,4.0,,96.0,,,,,nein,,,,,,,,,,,,,nein,,,
474,Kombibad,nein,Kombibad Mariendorf,Ankogelweg 95,12107,Berlin,Herr Ramm,030 74067830,,www.berlinerbaeder.de/baeder/kombibad-mariendorf-sommerbad/,11000000,13.40154,52.41972,ja,,Mai,,,,1974.0,,,,,,Stadtwerke,Berliner Bäder-Betriebe AöR,,5.5,ja,ja,ja,ja,ja,ja,,,ja,,,,,nein,nein,nein,nein,nein,ja,ja,ja,ja,ja,ja,ja,nein,ja,ja,ja,"Fußball, Kinderspielplatz, Tischtennis, Trampolin, Volleyball, Basketball",,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,nein,,nein,,,,,,,,,,ja,ja,ja,,,,,22.0,17.0,61.0,,,,,,,,ja,,,,,,,,,,nein,,,"Förderung SJK 2022, 6.000.000 €"
475,Hallenbad,nein,Schwimmhalle Anton-Saefkow-Platz,Anton-Saefkow-Platz 1,10369,Berlin,Herr Heinz,030 9729169,,www.berlinerbaeder.de/baeder/schwimmhalle-anton-saefkow-platz/,11000000,13.47184,52.53093,ja,,,,,,1980.0,,,,,,Stadtwerke,Berliner Bäder-Betriebe AöR,,5.5,ja,nein,,,ja,ja,,,ja,,,,,nein,nein,nein,nein,nein,nein,nein,nein,nein,ja,nein,nein,nein,,,nein,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,nein,,nein,,,,,,,,,,ja,ja,ja,,,,,56.0,25.0,19.0,,,,,,,,ja,5.0,,,,,,,,,nein,,,
476,Hallenbad,nein,Stadtbad Kreuzberg - Baerwaldbad,Baerwaldstraße 64-67,10961,Berlin,Herr Uffelmann,030 69564549,,www.baerwaldbad.de,11000000,13.40432,52.49451,ja,,,,,,1955.0,,,,Verein,Förderverein,Verein,Förderverein,,5.5,ja,ja,ja,ja,nein,nein,,,ja,,,,,nein,nein,nein,nein,nein,nein,nein,ja,nein,nein,nein,nein,nein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nein,,nein,,,,,,,,,,ja,ja,ja,,,,,,,,,,,,nein,,,ja,,,,,,,,,,nein,,,
477,Naturbad,,Strandbad am Weißen See,Berliner Allee 155,13086,Berlin,,030 9253241,headquarter@strandbadweissensee.de,www.berlinerbaeder.de/baeder/strandbad-am-weissen-see/,11000000,13.46583,52.55396,nein,,Mai,Oktober,,,,,,,,,,,,5.5,ja,ja,nein,nein,nein,nein,nein,,ja,,,,,nein,nein,nein,nein,nein,nein,nein,nein,nein,nein,nein,nein,ja,,ja,ja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nein,,nein,,,,,,,,,"Kinderspielplatz, Klettergerüst",nein,nein,,,,ja,,,,,,,,,nein,,,nein,,,,,,,,,,nein,,,
478,Freibad,nein,Sommerbad Staaken-West,Brunsbüttler Damm 443,13591,Berlin,Frau Kühne,030 3631946,,www.berlinerbaeder.de/baeder/sommerbad-staaken-west/,11000000,13.13123,52.53386,,,,,,,1970.0,,,,Stadtwerke,Berliner Bade-Betrieb AöR,Stadtwerke,Berliner Bade-Betrieb AöR,,5.5,ja,nein,,,nein,ja,nein,,ja,,,,,nein,nein,nein,nein,nein,nein,nein,nein,nein,ja,,nein,ja,,ja,ja,"Basketball, Tichtennis",,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,nein,,nein,,,,,,,,,"Kinderspielplatz, Klettergerüst",nein,ja,ja,,,,,,,,,,,,nein,,,ja,,,,,,,,,,nein,,,
479,Schulbad,nein,Schwimmhalle Kaulsdorf,Clara-Zetkin-Weg 13,12619,Berlin,Frau Dominszak,030 5633670,,www.berlinerbaeder.de/baeder/schwimmhalle-kaulsdorf/,11000000,13.58541,52.5208,ja,,,,,,1980.0,,,,Stadtwerke,Berliner Bade-Betrieb AöR,Stadtwerke,Berliner Bade-Betrieb AöR,,5.5,ja,ja,ja,ja,ja,ja,ja,,ja,,,,,nein,nein,nein,nein,nein,nein,nein,nein,nein,ja,nein,nein,nein,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,nein,,nein,,,,,,,,,"Saunagarten, Ruheraum",ja,ja,,,,,,17.0,30.0,51.0,,,,,nein,Sammelkarten,,ja,,,,,,,,,,nein,,,
480,Freibad,nein,Sommerbad Neukölln,Columbiadamm 160-180,10965,Berlin,,030 6278830,,www.berlinerbaeder.de/baeder/sommerbad-neukoelln/,11000000,13.41595,52.48025,,,Juni,,,,,,,,Stadtwerke,Berliner Bade-Betrieb AöR,Stadtwerke,Berliner Bade-Betrieb AöR,,5.5,ja,ja,ja,ja,nein,ja,,,ja,,,,,nein,nein,ja,nein,ja,ja,ja,ja,ja,ja,ja,nein,ja,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,nein,,nein,,,,,,,,,"Kinderspielplatz, Klettergerüst, Liegewiese",,,,,,,,,,,,,,,nein,Sommermehrfachkarte,,ja,,Personalmangel führt im Sommer 2023 zu Schließungen,,,,,,,,nein,,,
481,Hallenbad,nein,Schwimmhalle Finckensteinallee,Finckensteinallee 73,12205,Berlin,Frau Wiedeuwilt,030 8339385,,www.berlinerbaeder.de/baeder/schwimmhalle-finckensteinallee/,11000000,13.29791,52.43225,nein,,,Juni,September,,1938.0,,,,Stadtwerke,Berliner Bade-Betrieb AöR,Stadtwerke,Berliner Bade-Betrieb AöR,,5.5,ja,ja,ja,ja,ja,ja,nein,,ja,,,,,nein,nein,nein,nein,nein,nein,nein,nein,nein,nein,nein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nein,,nein,,,,,,,,,,ja,ja,ja,,,,,32.0,20.0,48.0,,,,,nein,Badespaß,,ja,,,,,,,,,,nein,,,
